strategy,rebalance_id,execution_date,signal_date,signal_type,target_etf_weight_pct,target_cash_weight_pct,approx_target_exposure_pct,action,etf_close,account_value_before,etf_value_before,cash_before,etf_weight_before_pct,trade_amount,buy_amount,sell_amount,commission,transaction_tax,total_cost,etf_value_after,cash_after,account_value_after,etf_weight_after_pct
macd_rebalance_60_40,1,2014-10-23,2004-01-30,golden_cross,60.0,40.0,120.0,buy,0.8706569763050788,1000000.0,0.0,1000000.0,0.0,599856.3943791857,599856.3943791857,0.0,239.34270135729514,0.0,239.34270135729514,599856.3943791857,399904.26291945693,999760.6572986427,60.00000000000001
macd_rebalance_60_40,2,2014-12-29,2014-12-26,golden_cross,60.0,40.0,120.0,buy,0.8262534505857629,969167.9674556808,569263.7045362239,399904.26291945693,58.73736273297288,12234.147082373103,12234.147082373103,0.0,4.881424685866869,0.0,4.881424685866869,581497.851618597,387665.23441239796,969163.086030995,60.00000000000001
macd_rebalance_60_40,3,2015-05-18,2015-05-15,death_cross,60.0,40.0,120.0,buy,0.8010044015942087,951393.3959515252,563728.1615391272,387665.23441239796,59.25289832134277,7106.174813537473,7106.174813537473,0.0,2.835363750601452,0.0,2.835363750601452,570834.3363526647,380556.2242351099,951390.5605877747,59.999999999999986
macd_rebalance_60_40,4,2015-10-19,2015-10-16,golden_cross,60.0,40.0,120.0,sell,0.8562911395173377,990790.5542565251,610234.3300214153,380556.2242351099,61.59064874001814,15773.237523077029,0.0,15773.237523077029,6.293521771707735,15.773237523077029,22.066759294784763,594461.0924983382,396307.3949988922,990768.4874972304,60.0
macd_rebalance_60_40,5,2016-01-11,2016-01-08,death_cross,60.0,40.0,120.0,buy,0.6839010565482857,871090.5037738138,474783.1087749216,396307.3949988922,54.50445237527273,47859.73586859974,47859.73586859974,0.0,19.096034611571298,0.0,19.096034611571298,522642.84464352136,348428.5630956809,871071.4077392023,60.0
macd_rebalance_60_40,6,2016-02-22,2016-02-19,golden_cross,60.0,40.0,120.0,sell,0.788815257066622,951247.7076255481,602819.1445298672,348428.5630956809,63.371416267019555,32097.46256461506,0.0,32097.46256461506,12.80688756328141,32.09746256461506,44.904350127896464,570721.6819652522,380481.12131016806,951202.8032754202,60.0
macd_rebalance_60_40,7,2016-05-16,2016-05-13,death_cross,60.0,40.0,120.0,buy,0.7500709651590686,923170.6281292896,542689.5068191215,380481.12131016806,58.78539570943955,11210.186339842488,11210.186339842488,0.0,4.472864349597153,0.0,4.472864349597153,553899.693158964,369266.46210597595,923166.15526494,60.00000000000001
macd_rebalance_60_40,8,2016-06-04,2016-06-03,golden_cross,60.0,40.0,120.0,sell,0.8567264779693686,1001927.3106268313,632660.8485208553,369266.46210597595,63.1443860059116,31530.929206732708,0.0,31530.929206732708,12.580840753486353,31.530929206732708,44.111769960219064,601129.9193141226,400753.27954274847,1001883.1988568711,60.0
macd_rebalance_60_40,9,2016-11-07,2016-11-04,death_cross,60.0,40.0,120.0,sell,1.0874505434772868,1163772.8362722332,763019.5567294846,400753.27954274847,65.56430369809704,64810.25669561496,0.0,64810.25669561496,25.85929242155037,64.81025669561497,90.66954911716533,698209.3000338696,465472.86668924626,1163682.1667231158,60.00000000000001
macd_rebalance_60_40,10,2017-02-02,2017-01-24,golden_cross,60.0,40.0,120.0,sell,1.1218415338968506,1185763.271461482,720290.4047722357,465472.86668924626,60.7448739649745,8839.862075572742,0.0,8839.862075572742,3.5271049681535245,8.839862075572743,12.366967043726268,711450.542696663,474300.36179777526,1185750.9044944383,60.0
